canonical_defect_id,authority_sha256,source_file,source_locator,lease,classification,exact_source,proposed_correction,target_locator,disposition,rationale
SITES-COHOMOLOGY-063,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12326,D,duplicate_finite_verb,"H^m(K) is can be generated","H^m(K) can be generated",sites-cohomology.part-d.fr.tex:1583,corrected_in_translation,"The clause has two incompatible finite verbs."
SITES-COHOMOLOGY-064,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12340,D,undefined_complex_symbol,"H^n(E^\bullet) = 0","H^n(\mathcal{E}^\bullet) = 0",sites-cohomology.part-d.fr.tex:1596,corrected_in_translation,"The proof defines the complex mathcal E, not E."
SITES-COHOMOLOGY-065,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12461,D,undefined_complex_symbol,"K^\bullet is a complex of flat modules","\mathcal{K}^\bullet is a complex of flat modules",sites-cohomology.part-d.fr.tex:1715,corrected_in_translation,"The resolution being truncated is mathcal K; K is the derived object."
SITES-COHOMOLOGY-066,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12538-12539,D,spurious_punctuation,"By Lemma \ref{lemma-K-flat-two-out-of-three-ses}. the complex","By Lemma \ref{lemma-K-flat-two-out-of-three-ses}, the complex",sites-cohomology.part-d.fr.tex:1792,corrected_in_translation,"The period incorrectly splits the introductory phrase from its clause."
SITES-COHOMOLOGY-067,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12555-12560,D,prose_typos,"represent E by a complex of \mathcal{E}^\bullet; the module f^*\mathcal{E}^i are flat","represent E by a complex \mathcal{E}^\bullet; the modules f^*\mathcal{E}^i are flat",sites-cohomology.part-d.fr.tex:1807-1812,corrected_in_translation,"The first clause has a redundant preposition and the second has number disagreement."
SITES-COHOMOLOGY-068,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:13066,D,prose_typo,"We will us without further mention","We will use without further mention",sites-cohomology.part-d.fr.tex:2310,corrected_in_translation,"The infinitive is missing its final letter."
SITES-COHOMOLOGY-069,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:13073-13075,D,undefined_structure_sheaf_index,"R\SheafHom(\mathcal{O}_X,\mathcal{O}_X)\otimes_{\mathcal{O}_X}^\mathbf{L}K \to R\SheafHom(R\SheafHom(K,\mathcal{O}_X),\mathcal{O}_X)","R\SheafHom(\mathcal{O},\mathcal{O})\otimes_{\mathcal{O}}^\mathbf{L}K \to R\SheafHom(R\SheafHom(K,\mathcal{O}),\mathcal{O})",sites-cohomology.part-d.fr.tex:2316-2318,corrected_in_translation,"The lemma assumes an arbitrary ringed site and defines no final object X."
SITES-COHOMOLOGY-070,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:13609,D,wrong_homotopy_composite,"b \circ a = 1 and b \circ a - 1 = dh + hd","b \circ a = 1 and a \circ b - 1 = dh + hd",sites-cohomology.part-d.fr.tex:2839,corrected_in_translation,"The preceding paragraph chooses a homotopy from alpha composed with beta to the identity."
SITES-COHOMOLOGY-071,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:13857,D,wrong_cross_reference_number,"Let (\mathcal{F}_n) be a system as in (2)","Let (\mathcal{F}_n) be a system as in (3)",sites-cohomology.part-d.fr.tex:3083,corrected_in_translation,"The inverse system with surjective transitions is item (3), not item (2)."
SITES-COHOMOLOGY-072,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:13961;sites-cohomology.tex:13976;sites-cohomology.tex:13998",D,wrong_ambient_category,"D^{-}(R); D(R); D(R)","D^{-}(\mathcal{A}); D(\mathcal{A}); D(\mathcal{A})","sites-cohomology.part-d.fr.tex:3186;sites-cohomology.part-d.fr.tex:3201;sites-cohomology.part-d.fr.tex:3222",corrected_in_translation,"The lemma is stated for a Grothendieck abelian category mathcal A and defines no ring R."
SITES-COHOMOLOGY-073,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:13984,D,prose_missing_verb,"such that L^i a finite direct sum","such that L^i is a finite direct sum",sites-cohomology.part-d.fr.tex:3209,corrected_in_translation,"The relative clause lacks its finite verb."
SITES-COHOMOLOGY-074,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:14011;sites-cohomology.tex:14014",D,wrong_degree_symbol,"(\bigoplus E_\lambda)[-i]; in degree i","(\bigoplus E_\lambda)[-c]; in degree c","sites-cohomology.part-d.fr.tex:3236;sites-cohomology.part-d.fr.tex:3239",corrected_in_translation,"The claim fixes degree c; i is unbound in this paragraph."
SITES-COHOMOLOGY-075,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:14089,D,wrong_vanishing_range,"for all p","for all p > 0",sites-cohomology.part-d.fr.tex:3313,corrected_in_translation,"Injective sheaves are acyclic in positive degrees; H^0 need not vanish."
SITES-COHOMOLOGY-076,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:14102,D,duplicated_direct_sum_inside_sections,"\bigoplus \Gamma(U, \bigoplus \mathcal{I}_i^\bullet)","\bigoplus \Gamma(U, \mathcal{I}_i^\bullet)",sites-cohomology.part-d.fr.tex:3324,corrected_in_translation,"The outer direct sum ranges over the individual complexes; the inner direct sum is duplicated."
SITES-COHOMOLOGY-077,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:14275-14276,D,colliding_indices,"a covering {U_i \to X} such that x_i lifts to H^b(U_i,K)","after a common finite refinement every generator x_j lifts to H^b(U_i,K) on every covering member U_i",sites-cohomology.part-d.fr.tex:3489-3491,corrected_in_translation,"The cover index i was incorrectly reused as the generator index and failed to express simultaneous lifting of all r generators."
SITES-COHOMOLOGY-078,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:14297,D,wrong_category_parameter,"D(\mathcal{C}, \underline{\Lambda})","D(\mathcal{C}, \Lambda)",sites-cohomology.part-d.fr.tex:3510,corrected_in_translation,"The section defines D(C,Lambda); underlining denotes the associated sheaf, not the category parameter."
SITES-COHOMOLOGY-079,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:14299,D,missing_constant_sheaf_decoration,"L \to \Lambda^{\oplus r}[-b+1]","L \to \underline{\Lambda^{\oplus r}}[-b+1]",sites-cohomology.part-d.fr.tex:3513,corrected_in_translation,"This is a morphism in the derived category of sheaves, so the constant module must carry its sheaf decoration."
